perc_calls_not_responded,total_calls,total_crimes
0.901234567901,81,217
0.623391812865,1710,2363
0.602861371485,2027,2683
0.592111832252,2003,2830
0.628484848485,1650,2040
0.691669956573,2533,2318
0.63630089717,1449,1703
0.584745762712,1770,2652
0.661386986301,2336,2569
0.627314814815,1728,2641
1.0,6,0
1.0,5,0
0.623735050598,2174,2416
0.574452283698,2693,3895
0.623904881101,1598,2355
0.697385620915,1530,1382
0.602549246813,1726,1908
0.594036697248,1744,1928
1.0,2,0
0.61620294599,1222,1532
0.598773006135,1630,1865
0.636070853462,1242,1652
1.0,1,0
0.562898550725,1725,2440
0.631696428571,2240,2561
0.593005575266,1973,2481
0.65758873929,3268,2988
0.633333333333,2880,2987
0.631075392269,2613,2751
0.561199510404,1634,2192
0.590470446321,1658,2419
0.575957727873,1514,2275
1.0,1,0
0.666331152491,1987,2649
0.682632880099,3236,2961
0.643405676127,2995,3367
1.0,1,0
0.591718266254,2584,2754
0.62987012987,1848,2479
0.618821668644,2529,2743
1.0,1,0
0.598130841121,1391,1442
0.674006444683,1862,1368
0.66181336863,1511,1293
1.0,1,0
0.624065769806,1338,1891
0.613333333333,1575,2393
0.637961335677,1707,2228
0.591804979253,1928,2323
0.623737373737,1584,2109
0.581843191197,1454,2177
1.0,2,0
0.656478405316,1505,1680
0.655729676787,2042,2053
0.62629969419,1635,1938
1.0,3,0
1.0,2,0
0.526107072042,1513,2698
0.536474852741,2207,2913
0.567741935484,1550,2551
1.0,17,0
0.734836285561,1863,1653
0.647682119205,1510,1688
0.665625,1280,1574
1.0,3,0
1.0,4,0
